"X0","Y0","Z0","treatments","days","L","a","b","YI","C","H"
41.64,40.99,23.79,"Blank",0,70.16891581852953,8.645204259020767,27.53303315486546,68.50890461088069,28.858403826045397,1.2665510537237639
41.98,42.27,29.03,"Blank",0,71.05667418397798,5.850290069809027,20.760011044290216,54.32363378282468,21.568587168842512,1.2961139569528286
42.0,41.32,24.2,"Blank",0,70.39953932081758,8.7432783413664,27.239310730243083,68.02516940948692,28.60812760761079,1.2602045198954315
42.01,41.47,25.53,"Blank",0,70.50396236095243,8.323427033563814,25.229042986711935,64.41041716903784,26.566596462633665,1.2521258742338581
42.08,42.35,29.18,"Blank",0,71.11156058778984,5.916070894739834,20.632259766477357,54.14781582054309,21.46369115280473,1.2915496652444964
42.23,42.09,27.29,"Blank",0,70.93292607944846,7.138690581757922,23.18415235127209,59.698265621287696,24.258314522428687,1.2720962483387899
42.28,41.67,25.03,"Blank",0,70.64280211827734,8.539867795394063,26.28271612754145,66.20254379649627,27.635312717675838,1.2566337695113146
42.34,42.48,28.32,"Blank",0,71.20060376093481,6.316165159116371,22.07130420712664,56.9114877589454,22.957273612534255,1.2920745587776985
42.61,42.29,27.1,"Blank",0,71.07040227285711,7.688040226841664,23.715905117941038,61.042326791203585,24.930906884682667,1.2573132086981464
42.61,43.05,23.68,"Blank",0,71.58889373593588,5.453163230812463,30.168104624457936,68.38559814169571,30.656997991553663,1.391968087312144
42.72,43.57,23.63,"Blank",0,71.94014469666426,4.268438303707212,30.85882542812184,68.01422997475328,31.152635078847727,1.4333470199637603
42.75,43.33,24.21,"Blank",0,71.77837814203605,5.055415588458512,29.599854765898215,67.06069697669051,30.02846364591929,1.4016366085429601
42.82,43.18,23.69,"Blank",0,71.67697049844865,5.701672268927982,30.302952352787614,68.77767484946735,30.834688063244272,1.3848150512205986
