X0,Y0,Z0,treatments,days
16.47,14.88,6.71,NC+Quercetin,4
19.74,18.03,8.11,PU,0
20.81,18.65,8.06,PU,0
22.25,20.14,8.50,PU,0
23.76,22.01,9.82,PU,0
24.41,22.13,9.24,PU,0
25.31,23.39,9.53,PU,0
25.61,23.75,9.76,PU,0
27.44,25.29,10.04,PU,0
27.58,25.62,10.87,PU,0
30.53,28.40,12.20,PU,0
19.89,17.88,7.30,PU,1
21.06,19.04,7.85,PU,1
22.29,20.00,7.49,PU,1
20.60,18.81,7.96,PU,1
23.62,21.69,8.86,PU,1
17.26,15.34,6.47,PU,1
24.52,22.54,9.60,PU,1
22.37,20.28,8.00,PU,1
22.05,20.02,7.86,PU,1
20.32,18.29,7.56,PU,1
22.33,20.27,7.70,PU,2
21.66,19.52,7.67,PU,2
21.94,19.64,7.53,PU,2
21.90,19.86,7.87,PU,2
21.24,19.08,7.55,PU,2
16.16,14.20,6.10,PU,2
26.97,25.04,10.72,PU,2
20.68,18.48,7.03,PU,2
21.05,18.80,7.24,PU,2
20.73,18.59,7.51,PU,2
24.23,22.23,9.01,PU,4
17.76,16.02,6.93,PU,4
21.23,18.73,7.08,PU,4
20.23,17.99,7.12,PU,4
16.60,14.75,6.81,PU,4
16.79,14.69,6.12,PU,4
24.31,22.04,8.51,PU,4
23.13,20.85,7.86,PU,4
19.57,17.44,7.13,PU,4
23.36,21.09,8.28,PU,4
22.25,20.14,8.50,PUT,0
22.95,20.78,8.56,PUT,0
23.76,22.01,9.82,PUT,0
25.31,23.39,9.53,PUT,0
25.61,23.75,9.76,PUT,0
26.14,23.81,9.72,PUT,0
26.72,24.64,10.34,PUT,0
27.44,25.29,10.04,PUT,0
28.37,26.32,11.01,PUT,0
30.53,28.42,12.15,PUT,0
21.54,19.63,8.18,PUT,1
25.54,23.81,10.36,PUT,1
25.66,23.91,10.04,PUT,1
21.51,19.86,8.81,PUT,1
23.82,22.00,9.43,PUT,1
22.34,20.56,7.89,PUT,1
23.96,22.09,9.57,PUT,1
23.62,21.86,8.96,PUT,1
22.51,20.59,7.80,PUT,1
25.98,24.35,10.84,PUT,1
18.76,17.06,7.53,PUT,2
22.44,20.62,8.72,PUT,2
24.09,22.31,9.34,PUT,2
21.75,19.91,8.61,PUT,2
26.74,25.17,11.18,PUT,2
22.81,20.96,8.58,PUT,2
24.69,22.74,9.58,PUT,2
24.08,22.14,8.76,PUT,2
22.56,20.68,8.30,PUT,2
26.21,24.32,10.03,PUT,2
23.21,21.32,8.80,PUT,4
17.78,16.22,7.53,PUT,4
24.05,22.07,9.00,PUT,4
25.76,23.93,10.02,PUT,4
18.80,17.29,7.86,PUT,4
23.76,21.84,9.01,PUT,4
26.10,24.09,10.10,PUT,4
23.61,21.55,8.46,PUT,4
20.48,18.31,7.00,PUT,4
26.39,24.41,9.92,PUT,4
19.98,18.58,8.38,PU+T1130,0
21.34,19.90,9.01,PU+T1130,0
22.54,21.03,9.87,PU+T1130,0
23.79,22.14,9.51,PU+T1130,0
25.34,23.72,10.57,PU+T1130,0
26.17,24.59,10.94,PU+T1130,0
26.60,25.05,11.31,PU+T1130,0
28.56,26.86,12.07,PU+T1130,0
28.80,26.71,10.32,PU+T1130,0
32.83,31.23,13.37,PU+T1130,0
21.08,19.39,8.04,PU+T1130,1
22.30,20.69,9.17,PU+T1130,1
17.64,16.21,7.29,PU+T1130,1
23.75,22.10,9.14,PU+T1130,1
21.21,19.52,8.35,PU+T1130,1
23.23,21.20,8.35,PU+T1130,1
22.43,20.84,8.97,PU+T1130,1
18.25,16.77,7.73,PU+T1130,1
25.14,23.32,9.21,PU+T1130,1
20.12,18.49,8.01,PU+T1130,1
20.74,19.07,8.06,PU+T1130,2
18.92,17.25,7.39,PU+T1130,2
16.82,15.32,6.80,PU+T1130,2
20.16,18.41,7.96,PU+T1130,2
21.17,19.46,7.92,PU+T1130,2
17.62,16.01,7.10,PU+T1130,2
22.57,20.50,7.85,PU+T1130,2
17.51,15.87,6.89,PU+T1130,2
19.99,18.32,7.97,PU+T1130,2
18.57,16.85,6.91,PU+T1130,2
20.88,18.94,7.85,PU+T1130,4
22.91,21.11,8.95,PU+T1130,4
17.53,15.94,7.51,PU+T1130,4
26.58,24.49,9.49,PU+T1130,4
22.42,20.62,8.51,PU+T1130,4
22.70,20.47,7.85,PU+T1130,4
20.89,19.07,8.06,PU+T1130,4
18.22,16.56,7.59,PU+T1130,4
22.00,19.89,7.95,PU+T1130,4
20.09,18.30,8.01,PU+T1130,4
14.56,13.95,6.93,PU+Quercetin,0
16.43,15.97,7.41,PU+Quercetin,0
17.07,16.54,7.55,PU+Quercetin,0
17.81,17.47,8.30,PU+Quercetin,0
18.08,17.29,7.50,PU+Quercetin,0
21.04,20.18,8.10,PU+Quercetin,0
21.96,21.38,8.91,PU+Quercetin,0
23.84,23.11,9.38,PU+Quercetin,0
24.08,23.50,9.73,PU+Quercetin,0
24.27,23.45,9.87,PU+Quercetin,0
16.49,15.79,7.58,PU+Quercetin,1
19.80,18.76,8.41,PU+Quercetin,1
18.10,17.01,7.27,PU+Quercetin,1
18.70,17.41,7.47,PU+Quercetin,1
21.21,19.83,8.56,PU+Quercetin,1
15.87,14.84,6.75,PU+Quercetin,1
